Locus,Gene,Category
AT4G02520,GSTF2,Immunity
AT3G26830,PAD3,Immunity
AT3G52430,PAD4,Immunity
AT5G10380,RING1,Immunity
AT2G04450,NUDT6,Immunity
AT3G57260,BGL2,Immunity
AT2G43570,CHI,Immunity
AT5G01600,FER1,Immunity
AT4G11890,ARCK1,Immunity
AT1G33960,AIG1,Immunity
AT2G14610,PR1,Immunity
AT3G04720,PR4,Immunity
AT1G80460,NHO1,Immunity
AT3G49120,PRXCB,Immunity
AT5G55450,ATLTP4.4,Immunity
AT3G51920,CAM9,Immunity
AT3G28930,AIG2,Immunity
AT2G45220,PME17,Immunity
AT3G07720,AT3G07720,Immunity
AT1G74710,EDS16,Immunity
AT1G08450,CRT3,Immunity
AT4G39030,EDS5,Immunity
AT4G09000,GRF1,Immunity
AT5G02490,Hsp70-2,Immunity
AT5G10760,AED1,Immunity
AT4G23150,CRK7,Immunity
AT1G08830,CSD1,Immunity
AT2G47130,SDR3,Immunity
AT1G13930,ABA related,Susceptibility
AT1G19570,DHAR1,Susceptibility
AT1G47128,RD21A,Susceptibility
AT1G49720,ABF1,Susceptibility
AT1G52400,BGLU18,Susceptibility
AT1G64660,MGL,Susceptibility
AT2G05620,PGR5,Susceptibility
AT2G26740,SEH,Susceptibility
AT2G34070,TBL37,Susceptibility
AT2G39010,PIP2E,Susceptibility
AT2G39030,NATA1,Susceptibility
AT3G45140,LOX2,Susceptibility
AT3G53420,PIP2A,Susceptibility
AT3G56400,WRKY70,Susceptibility
AT3G61430,PIP1A,Susceptibility
AT4G00430,PIP1;4,Susceptibility
AT4G23600,CORI3,Susceptibility
AT5G07010,ST2A,Susceptibility
AT5G24770,VSP2,Susceptibility
AT5G67030,ABA1,Susceptibility
AT2G04240,XERICO,Susceptibility
AT1G67080,ABA4,Susceptibility
AT2G46680,HB7,Susceptibility
AT4G17870,PYR1,Susceptibility
AT4G34000,ABF3,Susceptibility
AT5G63470,NF-YC4,Susceptibility
AT5G66880,SnRK2.3,Susceptibility
AT2G42540,COR15A,Susceptibility
