GO.ID,Term,Annotated,Significant,Expected,classic
GO:0006950,response to stress,4009,1508,884.29,< 1e-30
GO:1901700,response to oxygen-containing compound,2473,1039,545.49,< 1e-30
GO:0009607,response to biotic stimulus,1924,865,424.39,< 1e-30
GO:0044419,interspecies interaction between organis...,1945,871,429.02,< 1e-30
GO:0043207,response to external biotic stimulus,1923,864,424.17,< 1e-30
GO:0051707,response to other organism,1923,864,424.17,< 1e-30
GO:0009605,response to external stimulus,2267,953,500.05,< 1e-30
GO:0070887,cellular response to chemical stimulus,1773,803,391.08,< 1e-30
GO:0098542,defense response to other organism,1653,764,364.61,< 1e-30
GO:0006952,defense response,1904,840,419.98,< 1e-30
GO:0042221,response to chemical,3901,1386,860.47,< 1e-30
GO:0051716,cellular response to stimulus,3038,1138,670.11,< 1e-30
GO:0010033,response to organic substance,2719,1041,599.75,< 1e-30
GO:0097305,response to alcohol,991,511,218.59,< 1e-30
GO:0050896,response to stimulus,6862,2036,1513.6,< 1e-30
GO:0009719,response to endogenous stimulus,1971,810,434.76,< 1e-30
GO:0009725,response to hormone,1949,803,429.9,< 1e-30
GO:0009620,response to fungus,772,425,170.29,< 1e-30
GO:0009737,response to abscisic acid,903,469,199.18,< 1e-30
GO:0009617,response to bacterium,997,492,219.92,< 1e-30
GO:0031347,regulation of defense response,636,364,140.29,< 1e-30
GO:0009415,response to water,854,442,188.37,< 1e-30
GO:0001101,response to acid chemical,876,449,193.23,< 1e-30
GO:0033993,response to lipid,1211,560,267.12,< 1e-30
GO:0007154,cell communication,2147,837,473.58,< 1e-30
GO:0080134,regulation of response to stress,749,401,165.21,< 1e-30
GO:0023052,signaling,1981,787,436.96,< 1e-30
GO:0042742,defense response to bacterium,841,431,185.51,< 1e-30
GO:0007165,signal transduction,1942,774,428.36,< 1e-30
GO:0071310,cellular response to organic substance,1386,608,305.72,< 1e-30
GO:0010200,response to chitin,261,201,57.57,< 1e-30
GO:0009414,response to water deprivation,811,418,178.89,< 1e-30
GO:0048583,regulation of response to stimulus,1092,499,240.87,< 1e-30
GO:0071495,cellular response to endogenous stimulus,1081,491,238.44,< 1e-30
GO:0032870,cellular response to hormone stimulus,1057,483,233.15,< 1e-30
GO:0050832,defense response to fungus,568,315,125.29,< 1e-30
GO:0010243,response to organonitrogen compound,548,305,120.88,< 1e-30
GO:1901698,response to nitrogen compound,651,342,143.6,< 1e-30
GO:1901701,cellular response to oxygen-containing c...,1059,478,233.59,< 1e-30
GO:0009628,response to abiotic stimulus,3330,1100,734.52,< 1e-30
GO:0006970,response to osmotic stress,747,368,164.77,< 1e-30
GO:0010035,response to inorganic substance,1701,650,375.2,< 1e-30
GO:0001666,response to hypoxia,259,177,57.13,< 1e-30
GO:0009611,response to wounding,678,333,149.55,< 1e-30
GO:0071456,cellular response to hypoxia,200,149,44.12,< 1e-30
GO:0036293,response to decreased oxygen levels,266,178,58.67,< 1e-30
GO:0036294,cellular response to decreased oxygen le...,202,149,44.56,< 1e-30
GO:0071453,cellular response to oxygen levels,202,149,44.56,< 1e-30
GO:0070482,response to oxygen levels,267,178,58.89,< 1e-30
GO:0009755,hormone-mediated signaling pathway,883,397,194.77,< 1e-30
GO:0014070,response to organic cyclic compound,695,329,153.3,< 1e-30
GO:0050794,regulation of cellular process,4137,1255,912.53,< 1e-30
GO:0002376,immune system process,587,284,129.48,< 1e-30
GO:0050789,regulation of biological process,5044,1451,1112.59,< 1e-30
