Sample_Name,Database,Accession,Location,Sample,Lane,Read,Sequence_Type,Genomic_Read_No,Barcode_Read_No
KimLeaf1,NCBI_SRA,SRR13040579,NA,1,1,NA,PE,2,1
KimLeaf1,NCBI_SRA,SRR13040580,NA,1,2,NA,PE,2,1
KimLeaf1,NCBI_SRA,SRR13040581,NA,1,3,NA,PE,2,1
KimLeaf1,NCBI_SRA,SRR13040582,NA,1,4,NA,PE,2,1
KimLeaf1,NCBI_SRA,SRR13040583,NA,1,5,NA,PE,2,1
KimLeaf1,NCBI_SRA,SRR13040584,NA,1,6,NA,PE,2,1
KimLeaf1,NCBI_SRA,SRR13040585,NA,1,7,NA,PE,2,1
KimLeaf1,NCBI_SRA,SRR13040586,NA,1,8,NA,PE,2,1
KimLeaf2,NCBI_SRA,SRR13040587,NA,1,1,NA,PE,2,1
KimLeaf2,NCBI_SRA,SRR13040588,NA,1,2,NA,PE,2,1
KimLeaf2,NCBI_SRA,SRR13040589,NA,1,3,NA,PE,2,1
KimLeaf2,NCBI_SRA,SRR13040590,NA,1,4,NA,PE,2,1
KimLeaf2,NCBI_SRA,SRR13040591,NA,1,5,NA,PE,2,1
KimLeaf2,NCBI_SRA,SRR13040592,NA,1,6,NA,PE,2,1
KimLeaf2,NCBI_SRA,SRR13040593,NA,1,7,NA,PE,2,1
KimLeaf2,NCBI_SRA,SRR13040594,NA,1,8,NA,PE,2,1
Lopez-AnidoLeaf1,NCBI_SRA,SRR13749640,NA,1,1,NA,PE,3,2
ProckoLeaf1,NCBI_SRA,SRR15992287,NA,1,1,NA,PE,2,1
ProckoLeaf1,NCBI_SRA,SRR15992288,NA,1,2,NA,PE,2,1
Control,Local,NA,data/coaker_dataset/pi8x7420yj/Un_DTDB217_PE150_new/Project_DCSL_10XSC0078/Control_S33_L004_R1_001.fastq.gz,33,4,1,PE,NA,NA
DC3000,Local,NA,data/coaker_dataset/pi8x7420yj/Un_DTDB217_PE150_new/Project_DCSL_10XSC0078/DC3000_S32_L004_R1_001.fastq.gz,32,4,1,PE,NA,NA
Control,Local,NA,data/coaker_dataset/pi8x7420yj/Un_DTDB217_PE150_new/Project_DCSL_10XSC0078/Control_S33_L004_R2_001.fastq.gz,33,4,2,PE,NA,NA
DC3000,Local,NA,data/coaker_dataset/pi8x7420yj/Un_DTDB217_PE150_new/Project_DCSL_10XSC0078/DC3000_S32_L004_R2_001.fastq.gz,32,4,2,PE,NA,NA
ControlBulk1,Local,NA,data/coaker_dataset/q42e7ni62v/Unaligned/Project_GCLL_L4_Tag0008P_Lei/LEAFMOCK01_UMI_S199_L004_R1_001.fastq.gz,1,1,1,SE,NA,NA
ControlBulk2,Local,NA,data/coaker_dataset/q42e7ni62v/Unaligned/Project_GCLL_L4_Tag0008P_Lei/LEAFMOCK02_UMI_S200_L004_R1_001.fastq.gz,1,1,1,SE,NA,NA
ControlBulk3,Local,NA,data/coaker_dataset/q42e7ni62v/Unaligned/Project_GCLL_L4_Tag0008P_Lei/LEAFMOCK03_UMI_S201_L004_R1_001.fastq.gz,1,1,1,SE,NA,NA
ControlProto1,Local,NA,data/coaker_dataset/q42e7ni62v/Unaligned/Project_GCLL_L4_Tag0008P_Lei/PPLASTMOCK_UMI_S205_L004_R1_001.fastq.gz,1,1,1,SE,NA,NA
DC3000Bulk1,Local,NA,data/coaker_dataset/q42e7ni62v/Unaligned/Project_GCLL_L4_Tag0008P_Lei/LEAFDC01_UMI_S202_L004_R1_001.fastq.gz,1,1,1,SE,NA,NA
DC3000Bulk2,Local,NA,data/coaker_dataset/q42e7ni62v/Unaligned/Project_GCLL_L4_Tag0008P_Lei/LEAFDC02_UMI_S203_L004_R1_001.fastq.gz,1,1,1,SE,NA,NA
DC3000Bulk3,Local,NA,data/coaker_dataset/q42e7ni62v/Unaligned/Project_GCLL_L4_Tag0008P_Lei/LEAFDC03_UMI_S204_L004_R1_001.fastq.gz,1,1,1,SE,NA,NA
DC3000Proto1,Local,NA,data/coaker_dataset/q42e7ni62v/Unaligned/Project_GCLL_L4_Tag0008P_Lei/PPLASTDC_UMI_S206_L004_R1_001.fastq.gz,1,1,1,SE,NA,NA
